ticker,crsp_fundno,caldt,dnav,dret
SSO,25653,20181207,103.13,-0.046505
SSO,25653,20181016,118.19,0.043068
SSO,25653,20181213,104.48,-0.000574
SSO,25653,20181217,96.39,-0.041182
SSO,25653,20181119,107.99,-0.03356
SSO,25653,20181017,118.15,-0.000338
SSO,25653,20181101,112,0.020873
SSO,25653,20181031,109.71,0.021604
SSO,25653,20181126,106.53,0.031368
SSO,25653,20181212,104.54,0.010634
SSO,25653,20181227,91.39,0.016687
SSO,25653,20181214,100.53,-0.037806
SSO,25653,20181123,103.29,-0.013184
SSO,25653,20181113,110.5,-0.003247
SSO,25653,20181012,114.66,0.028341
SSO,25653,20181026,105.52,-0.034849
SSO,25653,20181115,111.22,0.021304
SSO,25653,20181127,107.22,0.006477
SSO,25653,20181106,113.24,0.012608
SSO,25653,20181116,111.74,0.004675
SSO,25653,20181114,108.9,-0.01448
SSO,25653,20181203,115.99,0.022749
SSO,25653,20181211,103.44,-0.000483
SSO,25653,20181218,96.36,-0.000311
SSO,25653,20181204,108.48,-0.064747
SSO,25653,20130730,84.68,0.000709
SSO,25653,20130429,75.46,0.013839
SSO,25653,20130819,80.87,-0.012335
SSO,25653,20121207,59.61,0.006076
SSO,25653,20130313,71.87,0.002931
SSO,25653,20130613,79.86,0.030186
SSO,25653,20130913,85.2,0.004835
SSO,25653,20121114,54.36,-0.027027
SSO,25653,20130102,63.35,0.051103
SSO,25653,20130219,69.59,0.014431
SSO,25653,20130405,71.75,-0.008704
SSO,25653,20130521,82.97,0.003022
SSO,25653,20130703,77.69,0.001676
SSO,25653,20130708,80.17,0.010971
SSO,25653,20130821,80.59,-0.011772
SSO,25653,20131007,83.94,-0.017211
SSO,25653,20121127,57.91,-0.010255
SSO,25653,20121219,61.15,-0.015139
SSO,25653,20130114,64.07,-0.001869
SSO,25653,20130206,67.76,0.00133
SSO,25653,20130301,68.48,0.005432
SSO,25653,20130325,71.59,-0.006798
SSO,25653,20130417,71.56,-0.0293
